"Sygnatura czasowa","Twoja obecna rola","Doświadczenie w obecnej roli","Wielkość działu wytwarzającego oprogramowanie w firmie, w której obecnie pracujesz. Alternatywnie: typowy rozmiar firmy, z którą zwykle współpracujesz. ","Czy oprogramowanie jest głównym produktem firmy, czy raczej wspiera działanie firmy?","Jak często korzystasz z narzędzi AI w pracy (chatboty, agenci, integracje w istniejących narzędziach, etc.)","Z jakich narzędzi korzystasz najczęściej?","Jak oceniasz zmianę efektywności swojej pracy związaną z korzystaniem z narzędzi AI?","W jakim stopniu twoja firma (lub klienci) inwestują w narzędzia AI?","Jaki jest stosunek ludzi w firmie (w twoim otoczeniu) do narzędzi AI?","(opcjonalnie) Zostaw dowolny komentarz dotyczący efektywności narzędzi AI ","Pracujesz obecnie?","Jak pewnie czujesz się w obecnej roli w obecnej firmie?","Co jest głównym źródłem niepewności? ","Jak blisko są narzędzia AI do tego, aby Cię zastąpić?","Jakie działania rozważasz jeśli chodzi o swoją przyszłość?","Które działania będą dla Ciebie najważniejsze?","Jeśli planujesz rozwój umiejętności, to jakich?","Jak wygląda według Ciebie przyszłość ról projektowych?"
"2026/03/09 12:08:30 PM EET","Agile Coach/Agile Consultant","10+ lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz na kilka dni","ChatGPT, facylitator w Teamsach do notatek i agendy","3","4","4","","Tak. Ekwiwalent pełnego etatu","4","Obecnie jest wiele osób w rolach wspierających, projektowych w dziale. Delivery leads, Product Managers, kilku Agile Coachów. Czuję, że może być nas za dużo. Póki co jednak, wygląda na to, że management widzi wartość w naszej pracy z celami, wspieraniem zespołów w transparencji pracy, szkoleniami i mentoringiem.","2","Otworzenie własnego biznesu (lub stworzenie produktu);Inwestycja w narzędzia (w tym w AI);Wcześniejsza emerytura (FIRE)","Obecnie tworzenie własnych narzędzi (wraz z grupą znajomych), wsparcie się narzędziami AI oraz inwestycje finansowe.","Marketing, sprzedaż produktu, badanie potrzeb i sprawdzanie market fit. Umiejętności związane z prowadzeniem startupu.","Zostaną ci, którzy mają wsparcie AI lub swój własny biznes. W przyszłości być może zostaniemy zastąpieni w większym stopniu przez agentów AI."
"2026/03/09 3:51:44 PM EET","Scrum Master","1-3 lata","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Rzadziej niż raz w tygodniu","Chat GPT","4","5","5","","Tak. Ekwiwalent pełnego etatu","3","Szybkie tempo zmian","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","Elastyczność i dostosowanie do zmian","agenci AI","Nie będą potrzebne, albo w jakimś małym stopniu jako eksperci do nauki agentów"
"2026/03/10 9:27:52 AM EET","Scrum Master","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","ChatGPT, copilot ","2","3","3","","Tak. Ekwiwalent pełnego etatu","5","Jestem Scrum masterka na 50%, druga połowa to praca konsultanta wdrożeniowego systemy ERP ","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja","Ciągłe podnoszenie kwalifikacji","Coaching, techniczne umiejętności ","Nadal będą potrzebne "
"2026/03/10 9:31:07 AM EET","Scrum Master","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz na kilka dni","Chat gpt, wewnętrzny chat ","4","4","5","","Tak. Ekwiwalent pełnego etatu","5","Robię dobrą robotę ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","-","","-"
"2026/03/10 9:43:49 AM EET","Technical Product Owner / Lead zespołu testerskiego","1-3 lata","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","Jedyne, do jakiego mam obecnie dostęp to GitHub Copilot, ale już nie programuję tyle co kiedyś, więc używam go mało ","3","4","4","Trudno mi odpowiedzieć na poprzednie 3 pytania, narzędzie do którego mam dostęp właściwie ma zerowy wpływ na moją obecną pracę, a nawet jeśli dostanę dostęp do większej liczby narzędzi to nie widzę, żeby dramatycznie miały zmienić to co robię (większość wyzwań w tej pracy jest typu - przekonaj zespół X, żeby wziął na siebie jakiś ticket i wytłumacz technicznie dlaczego oni)","Tak. Ekwiwalent pełnego etatu","3","Jestem dość niepewna, bo w ostatnim roku były u mnie zwolnienia zarówno pracowników, jak i konsultantów. Sądzę, że AI to tylko wymówka, korekta rynku. Dużo ludzi w firmie nic nie robi, bo zatrudniono ich bez pomysłu na ich stanowisko i choć są kompetentni nie mają co robić. Czuję się kompetentna w swojej roli, ale są okresy, kiedy mój team też nie dostaje żadnych zadań albo wręcz zakazuje się nam wykonywać rzeczy z backlogu, bo są jakieś zewnętrzne dependencies i np. argument, że nie ma na to budżetu albo zasobów. Więc firma woli, żebyśmy siedzieli niewiele robiąc. Gdyby zdecydowano się na większe redukcje martwię się o szukanie pracy, co prawda mam techniczny background i mogę pracować na różnego typu stanowiskach, także typu engineer, ale dużo jest teraz rekrutacji widmo i problemów z nową pracą.","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu);Budowanie marki osobistej m.in. kanału YouTube ","Rozwój umiejętności związanych z samym AI, marka osobista, rozwój (m.in. doktorat) ","Juz wyżej pisałam ","Uważam, że duża część pracy w tych rolach to część miękka, której nie da się zastąpić. Natomiast pewnie w związku z AI będzie takich stanowisk trochę mniej."
"2026/03/10 9:49:15 AM EET","Scrum Master","10+ lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Jest za blokowane nie korzystam, o zystam prywatnie","Gemini ","4","3","1","Umiejętnie wdrożone i użyte ułatwiają życie ","Tak. Ekwiwalent pełnego etatu","4","Programy oszczędnościowe/cięcia kosztów ","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","Wdrażanie narzędzi AI w mojej oracy","Wdrażanie narzędzi AI do optymalizacji mojej pracy","Kto będzie dobrze używał narzędzi AI będzie cennym assetem w firmie, kto nie, może nie mieć pracy"
"2026/03/10 9:55:11 AM EET","Team Lead, Frontend Developer ","5-10 lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","ChatGPT, GitHub Copilot ","3","4","4","","Tak. Ekwiwalent pełnego etatu","4","Nie wykorzystuję AI na poziomie, którego oczekują pracodawcy ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu)","Praca z ludźmi, zmiana branży ","Wiedzę o AI, negocjacje, psychologia ","Więcej projektów , możliwość zrozumieć co jest najważniejsze "
"2026/03/10 10:17:01 AM EET","Delivery Lead","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Github Copilot, ChatGPT","5","4","2","","Tak. Ekwiwalent pełnego etatu","2","Automatyzacja moich zadań, budowanie narzędzi w oparciu o AI, które przejmują rolę koordynatora/generatora pomysłów. ","5","Rozwój umiejętności i zdobywanie nowej wiedzy","Awansowanie na wyższe stanowiska, AI nie zastępuję odpowiedzialności.","Prowadzenia i zarządzania działami/firmami.","Zastąpienie przez samodzielne/Agile zespoły ze wsparciem narzędzi AI"
"2026/03/10 10:21:13 AM EET","Tester","1-3 lata","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Cursor AI","3","5","3","","Tak. Ekwiwalent pełnego etatu","4","Brak studiow technicznych powoduje że nie czuję się na 100% komfortowo ","1","Rozwój umiejętności i zdobywanie nowej wiedzy","Rozwój osobisty ","Obsługa narzędzi AI, ","Nie mam zdania "
"2026/03/10 10:39:13 AM EET","Portfolio Manager","0-12 miesięcy","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Notebook LLM, Glean AI, Gemini","4","4","4","","Tak. Ekwiwalent pełnego etatu","3","zmiany na każdym poziomie organizacji i we wszystkich rolach","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI)","Rozwój umiejętności i zdobywanie nowej wiedzy","AI","są mocno zautomatyzowane dzięki AI, co daje więcej transparentości
ale cały flow dalej jest definiowany przez ludzi"
"2026/03/10 10:49:43 AM EET","Agile Coach/Agile Consultant","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","copilot, gemini, claude. Chatboty, agenty kodowania i narzedzia esencjonujace tresci","3","4","2","Wchodzimy w faze industralizacji, zbierania doswiadczen i tak na prawde jestesmy na poczatku rewolucji","Tak, ale niepełny etat.","4","jak szybko sie bedziemy dostosowywac do nowych zadan, bez wzgledy na glowna role","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI);samodzielne eksperymenty z kodowaniem AI","samodzielne eksperymenty, jako uzupelnienie szkolen, wiedzy i praktyki zawodowej","Technical Agile Coaching","Pojecie rol projektowych stanie sie drugorzedne. Wazniejsze stanie sie ""co robisz?"" ""jak to robisz?"" i ""komu tym pomagasz?"""
"2026/03/10 10:56:21 AM EET","Release Train Engineer","0-12 miesięcy","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Glean, Gemini","3","5","5","","Tak. Ekwiwalent pełnego etatu","3","Wszechobecne zwolnienia skupione na cięciu kosztów, brak jasno sprecyzowanych oczekiwań od stakeholderów co do roli w organizacji, ogólny bum na AI bez większego zrozumienia celu jego wykorzystania w stylu “ważne, że używamy, nieważne czy są z tego korzyści”","3","Otworzenie własnego biznesu (lub stworzenie produktu);Obecnie jestem w kropce i szukam inspiracji co robić","Znalezienie stabilniejszej alternatywy, prawdopodobnie czegoś na własną rękę","Budowanie agentów, rozważam zmianę branży w dalszej przyszłości","Zabranie czynnika ludzkiego osobiście mnie przytłacza i przeraża, nie wyobrażam sobie działania organizacji bez ludzkiej reprezentacji ról projektowych."
"2026/03/10 11:23:09 AM EET","Scrum Master","5-10 lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Github Copilot, ChatGPT Enterprise, perplexity","4","4","3","","Tak, ale niepełny etat.","3","Dynamika zmian, niezrozumienie jak działają szeroko pojęte narzędzia AI ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży)","Rozwój umiejętności i ewentualny plan B","Użycie narzędzi AI w świadomy sposób, przyspieszenie swojej pracy","Podział na twarde i miękkie umiejętności zacznie się zacierać - od osób w roli nietechnicznej będzie wymagana umiejętności użycia narzędzi AI w sposób świadomowy, a od osób technicznych większa wiedza i otwartość na podejście biznesowe"
"2026/03/10 11:46:19 AM EET","Scrum Master","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","przefrazowanie, podsumowania notatek, brainstorm","4","4","3","","Tak. Ekwiwalent pełnego etatu","4","mam poczucie, ze bez moja praca to bardziej ""nice to have""","3","Rozwój umiejętności i zdobywanie nowej wiedzy","eksplorowanie innych możliwości","","nie wiem"
"2026/03/10 11:46:39 AM EET","Delivery Lead","5-10 lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Claude, ChatGPT, Perplexity, Lovable, Dyad, Fireflies, Copilots, NotebookLM ","4","3","4","","Tak. Ekwiwalent pełnego etatu","4","Sytuacja rynkowa nie pozwala, nawet w bardzo ""bezpiecznej"" sytuacji czuć się w pełni pewnie (i raczej nigdy nie byłoby to zdrowe)","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Otworzenie własnego biznesu (lub stworzenie produktu);Inwestycja w narzędzia (w tym w AI)","Rozwój umiejętności i otwarcie własnego biznesu, względnie nowa rola (o ile będzie bardziej atrakcyjna niż własny biznes)","Automatyzacja procesów dla ich realnego usprawnienia (redukcja kosztów, czasu spędzanego na mało wartościowych czynnościach), doradztwo strategiczne, transformacyjne, sprzedaż, business development ","Moim zdaniem typowe (definicje ostatnich 10 lat) role projektowe będą coraz częściej łączyć/przenikać się z rolami typu ""builder"" (czy to produktowo, czy procesowo), a także z rolami po stronie ""biznesu"". "
"2026/03/10 12:01:07 PM EET","Line manager ","3-5 lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Gemini","4","4","4","W rolach nietechnicznych w mojej firmie brakuje mi szkoleń z obsługi AI i możliwości wykorzystania go w codziennej pracy. Narzędzia sa, ale używam ich troche metoda prób i błędów. Sztukę pisania promptow musze poznawać sama. A szkoda","Tak. Ekwiwalent pełnego etatu","5","Stabilna firma, projekty.","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI);Niezależność finansowa i wcześniejsza emerytura (FIRE)","Nauczenie sie optymalnego korzystania z AI","AI","Nie bedzie łatwo ich zastąpić, bo w rolach projektowych sa istotne umiejętności miękkie."
"2026/03/10 12:20:05 PM EET","Agile Coach/Agile Consultant","5-10 lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz dziennie","Copilot, NotebookLM","3","4","3","","Tak. Ekwiwalent pełnego etatu","4","Zwykła ostrożność i pokora nie pozwala mi dać 5 ale czuję się dość pewnie","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Całkowita zmiana zawodu (zmiana branży);Dbanie o siebie i relacje","Dbanie o siebie i relacje","Uważność, umiejętność życia w niedostatku i znajdywanie szczęścia w dbaniu o siebie i bliskich","Nie mam pojęcia :)"
"2026/03/10 1:24:58 PM EET","Agile Coach/Agile Consultant","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Copilot, Gemini, Perplexity - zależy czy w pracy na służbowym czy prywatnie","4","3","3","","Tak. Ekwiwalent pełnego etatu","2","zmiany w firmie i cięcia + outsourcing do Indii","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku);Otworzenie własnego biznesu (lub stworzenie produktu);Inwestycja w narzędzia (w tym w AI);Niezależność finansowa i wcześniejsza emerytura (FIRE)","Trudno powiedzieć - najlepiej niezależność finansowa i wygrana w totka","prezentacji, miekkich skili, ale też odporności psychicznej i zarządzania zmianą","orkiestracja narzędzi z wykorzystaniem AI"
"2026/03/10 1:37:11 PM EET","Scrum Master","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","Chat gpt ","1","2","5","","Tak. Ekwiwalent pełnego etatu","3","Wycofanie finansowania z projektów wdrażających AI","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Otworzenie własnego biznesu (lub stworzenie produktu)","Studia","Finanse","Umiera na rzecz ról technicznych "
"2026/03/10 1:54:36 PM EET","Trener/konsultant","10+ lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Claude, ChatGPT ","4","3","4","","Nie","2","Zmiany systemowe","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu)","Kompetencje adekwatne do rzeczywistych potrzeb. ","Praca ludzi, i ich nowe narzędzia ","Nie wiem. "
"2026/03/10 2:03:12 PM EET","Project Manager","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz dziennie","Firmowy system AI, oparty na chacie GPT","3","2","3","","Tak. Ekwiwalent pełnego etatu","3","Stagnacja, brak perspektyw rozwoju zawodowego ","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży)","Zmiana pracy i rozwój ","","Myślę, że człowiek nadal będzie potrzebny, aby zarządzać i krytycznie oceniać informacje uzyskane z narzędzi AI"
"2026/03/10 2:21:21 PM EET","Delivery Lead","1-3 lata","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Copilot","4","2","4","","Tak. Ekwiwalent pełnego etatu","4","Nigdy nie można być niczego w 100% pewnym:)","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Otworzenie własnego biznesu (lub stworzenie produktu);Inwestycja w narzędzia (w tym w AI)","Rozwój umiejętności","Rozwój umiejętności związanych z AI, dobre zrozumienie podstaw AI, systemów agentowyqch i architektury, mimo, że nie jestem w roli technicznej.","jeszcze większość się granic pomiędzy rolami produktowymi, a technicznymi"
"2026/03/10 2:22:22 PM EET","Agile Coach/Agile Consultant","20","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Modele LLM, Claude, Grok, chetGPT","4","3","5","","Nie","2","Brak popytu na usługi, trend AI zamiast Agile, niskie stawki, dostępność ekspertów.","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","Zacznę robić to co zawsze odkładałem.","Sprzedaż, marketing.","Role będą dynamiczne. Będzie się zmieniał zakres obowiązków. Trzeba będzie szybciej się adapotować."
"2026/03/10 2:23:56 PM EET","Agile Coach/Agile Consultant","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Dedykowana aplikacja korporacji z możliwością przełączania 10 modeli","4","4","3","","Tak, ale niepełny etat.","1","Likwidacja stanowiska ","4","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży)","Zmiana roli","","Zostaną przekształcone "
"2026/03/10 4:23:18 PM EET","Project Manager","3-5 lat","1-50 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Publiczne modele językowe ","4","5","3","","Tak. Ekwiwalent pełnego etatu","2","Automatyzacja narzędzi","4","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku)","Rozwój umiejętności i zdobywanie nowej wiedzy","","Stanie się aktywnym uczestnikiem procesu tworzenia programowania, bardziej tech niż zarządzanie projektem"
"2026/03/10 5:15:12 PM EET","Project Manager","1-3 lata","1-50 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz dziennie","Chat, notebooklm, gama app","3","3","4","","Nie","1","Obecnie szukam pracy ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI)","Szkolenie i podnoszenie kwalifikacji 
Rozważam też zmianę branży ","Szkolenia z AI ale tez z miekkich rzeczy typu coaching","1. Z jednej strony pojawia się coraz więcej ról hybrydowych, łączących różne stanowiska i kompetencje (od analizy biznesowej po rozwiazywanie problemów czy wdrażanie SCRUMa)
2. Możliwe ""znikanie"" roli typowego PM (dużo da się tutaj zautomatyzować czy zastąpić AI)
3. Dla równowagi może znowu wzrosnąć rola takich osob jak SM czy Agile Coach, którzy zagospodarują te obszary dzialania, które nie da się zautomatyzować i są zbyt ludzkie"
"2026/03/10 8:00:47 PM EET","head of data","5-10 lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","narzędzia wewnętrzenie rozwijane + copilot + chatgpt","5","2","4","","Tak. Ekwiwalent pełnego etatu","5","zajmuję się wdrażaniem rozwiązań AI","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Otworzenie własnego biznesu (lub stworzenie produktu);Inwestycja w narzędzia (w tym w AI)","rozwój umiejętnosci","zarządzanie projektami AI","widzę to jako człowiek +AI (efektywna synergia)"
"2026/03/10 8:42:23 PM EET","Scrum Master","5-10 lat","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz na kilka dni","Czat GPT","4","4","3","","Tak. Ekwiwalent pełnego etatu","3","Cięcia budżetowe, blokery zmian którzy są umocowani w firmie przez co wysiłek tych którym się chce jest dużo mniejszy niż by mógł być","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży)","Zdobywanie nowych doświadczeń","","We współpracy z AI"
"2026/03/10 11:19:16 PM EET","Team Leader","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","GHC, ChatGPT, Suno, internal GPT","3","5","4","","Tak. Ekwiwalent pełnego etatu","4","Niepewność na rynku IT","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","Rozwój i widzea w zakresie AI","uzycie narzędzi AI/ML w wielu aspektach IT od zarządzania przez testy jak i sam produkt","Tak samo jak dzisiaj, ale bardziej zautomatyzowana. "
"2026/03/11 5:49:55 AM EET","Consultant ","0-12 miesięcy","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Copilot","5","4","4","","Tak. Ekwiwalent pełnego etatu","2","Jestem tak daleko tej oceny że właściwie wszystkiego brakuje - na pewno deklaracji że rola jest przewidziana w przyszłości i jasnej klarownej informacji jaką jest jej przyszłość , konkretnych zadań i zakresu ","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Inwestycja w narzędzia (w tym w AI)","Rozwój umiejętności ","Umiejętność prowadzenia projektów i product led thinking ","Mocni ludzie w tych pozycjach będą musieli udowadniać po co są. Że ich rola nie jest rejestracją zdarzeń czy przypominanie o robocie, rozliczanie a kreowanie środowiska pracy opartego na zaangażowaniu"
"2026/03/11 10:51:10 AM EET","Scrum Master","10+ lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz na kilka dni","ChatGPT","2","3","4","","Tak. Ekwiwalent pełnego etatu","5","Lata pracy w firmie ","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","Zastanawiam się nad zmianą roli","AI, zarządzanie ludźmi ","Niewiele się zmieni, ale pewności nie mam. "
"2026/03/11 11:19:24 AM EET","Scrum Master","5-10 lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Claude Code, Rovo, MCP servers","4","5","3","","Tak. Ekwiwalent pełnego etatu","3","Dużo zmian na raz, trudno wyrokować ","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI)","Rozwój umiejętności ","Techniczne umiejętności związane z automatyzacją i analizą opartą o AI","Ogromne oczekiwania co do automatyzacji pracy i przyjmowania większej ilości obowiązków "
"2026/03/11 11:22:32 AM EET","Scrum Master","10+ lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz dziennie","Claude, Perplexity","3","2","3","","Tak. Ekwiwalent pełnego etatu","3","Dopiero rozpocząłem pracę u nowego klienta.","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu);Niezależność finansowa i wcześniejsza emerytura (FIRE)","Rozwój umiejętności.","Rozwój umiejętności rzemieśliniczych / rękodzielniczych","Większość ról pozostanie w lekko zmienionej formie, ale też niektóre znikną lub zostaną zastąpione."
"2026/03/11 12:12:36 PM EET","Scrum Master","3-5 lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","Chatgpt","2","3","3","","Tak. Ekwiwalent pełnego etatu","3","Dzieją się zmiany ale niekoniecznie jest to związane z AI","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","Rozwój szkolenia nauka","","Moim zdaniem nie znikną"
